stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3544,,Main/Third (old),The stop is located on a sign post about 100 feet after 3rd St by UHS Primary Care Johnson City,42.115745,-75.966756,,,,,,
3545,,Main/Chaumont,The stop is located on a sign post at the corner before Chaumont Dr by KFC Endwell,42.106235,-76.026721,,,,,,
3546,,Main/Westover Plaza,The stop is located on a sign post by Aldi's Johnson City,42.115584,-75.972733,,,,,,
3547,,Main/Shady,The stop is located on a sign post about 20 feet before Shady Dr near R&M Engine Repair Endwell,42.106425,-76.023719,,,,,,
3549,,Main/Davis,The stop is located on a telephone pole about 200 feet after Davis Ave by Burger King Endwell,42.106541,-76.020509,,,,,,
3550,,Main/Oakdale,The stop is located  on a sign post  at the corner before Oakdale Rd by the The Pharmacy Johnson City.,42.116169,-75.976316,,,,,,
3550.1,,Main/Endwell,The stop is located by the Window Broker,42.116845,-75.977944,,,,,,
3551,,Hooper/Prospect,The stop is located on a sign post about 20 feet Prospect St at a private residence Endwell,42.109913,-76.017367,,,,,,
3552,,Oakdale/Endwell,The stop is located  on a telephone pole at the corner before Endwell St near Murray Appraisel Johnson City,42.117505,-75.9769,,,,,,
3554,,Oakdale/Azon,The stop is located  on a sign post  at the corner before Azon Rd near Klemmt Orthopaedic Johnson City,42.1194952707882,-75.9770475150909,,,,,,
3555.1,,Watson/Hill,The stop is located at the intersection before Hill Ave Endicott,42.109238,-76.048168,,,,,,
3556,,Oakdale/Fields,The stop is located  on a sign post  about 20 feet after Field St across from Vingelis Lee Denistry Johnson City,42.1209828112102,-75.9771803365278,,,,,,
3557,,Watson/N. Adams,The stop is located on a telephone pole about 25 feet after N Adams Ave at a private residence Endicott,42.109407,-76.042418,,,,,,
3558,,Oakdale/Evert,The stop is located about  on a sign post 50 feet after Evert St across from Croteau's Transmission Johnson City,42.122662,-75.977347,,,,,,
3559,,Watson/Hayes,The stop is located at the corner before Hayes Av on yellow crosswalk sign Endicott.,42.1095,-76.039965,,,,,,
3560,,Oakdale/Harry L,The stop is located about  on a sign post  150 feet before Harry L Drive between Hand Therapy and Hussar Insurance Johnson City,42.123657,-75.977414,,,,,,
3561,,Watson/Taylor,The stop is located on a telephone pole about 100 feet after Taylor Ave at a private residence Endicott,42.1096,-76.037248,,,,,,
3562.2,,Oakdale Commons/Oakdale Pizza,The stop is located by JC Penney,42.127732,-75.975144,,,,,,
